frame0,rank,matlab_alpha,python_alpha,matlab_weight,python_weight,matlab_x1,python_x1,matlab_y1,python_y1
100,3,30.5,30.5,278.0,278.0,119.0,119.0,262.0,262.0
100,4,29.0,29.0,264.0,264.0,165.0,165.0,279.0,279.0
100,5,30.5,30.5,261.0,261.0,412.0,412.0,283.0,283.0
100,6,18.0,18.0,256.0,256.0,67.0,67.0,199.0,199.0
100,7,32.0,32.0,255.0,255.0,337.0,337.0,307.0,307.0
100,8,14.0,14.0,255.0,255.0,45.0,45.0,241.0,241.0
100,9,13.5,13.5,255.0,255.0,177.0,177.0,280.0,280.0
100,10,31.0,31.0,253.0,253.0,180.0,180.0,282.0,282.0
250,1,20.5,20.5,341.0,341.0,153.0,153.0,279.0,279.0
250,2,19.5,19.5,338.0,338.0,131.0,131.0,252.0,252.0
250,3,21.5,21.5,336.0,336.0,132.0,132.0,264.0,264.0
250,4,21.0,21.0,302.0,302.0,229.0,229.0,275.0,275.0
250,5,21.5,21.5,299.0,299.0,327.0,327.0,288.0,288.0
250,6,26.0,26.0,295.0,295.0,324.0,324.0,295.0,295.0
250,7,23.0,23.0,287.0,287.0,191.0,191.0,272.0,272.0
250,8,12.0,12.0,287.0,287.0,24.0,24.0,217.0,217.0
250,9,12.0,12.0,287.0,287.0,129.0,129.0,273.0,273.0
250,10,9.5,9.5,285.0,285.0,103.0,103.0,266.0,266.0
500,1,19.0,19.0,367.0,367.0,92.0,92.0,260.0,260.0
500,2,21.5,21.5,357.0,357.0,203.0,203.0,287.0,287.0
500,3,23.0,23.0,305.0,305.0,241.0,241.0,278.0,278.0
500,4,12.0,12.0,304.0,304.0,19.0,19.0,217.0,217.0
500,5,20.0,20.0,296.0,296.0,62.0,62.0,238.0,238.0
500,6,16.5,16.5,294.0,294.0,78.0,78.0,227.0,227.0
500,7,24.0,24.0,288.0,288.0,90.0,90.0,240.0,240.0
500,8,20.5,20.5,288.0,288.0,338.0,338.0,266.0,266.0
500,9,10.5,10.5,286.0,286.0,55.0,55.0,197.0,197.0
500,10,21.5,21.5,282.0,282.0,71.0,71.0,244.0,244.0
750,1,23.5,23.5,344.0,344.0,87.0,87.0,259.0,259.0
750,2,23.5,23.5,325.0,325.0,281.0,281.0,280.0,280.0
750,3,20.0,20.0,318.0,318.0,123.0,123.0,266.0,266.0
750,4,25.0,25.0,289.0,289.0,95.0,95.0,263.0,263.0
750,5,25.5,25.5,288.0,288.0,298.0,298.0,280.0,280.0
750,6,13.0,13.0,286.0,286.0,28.0,28.0,229.0,229.0
750,7,28.0,28.0,284.0,284.0,216.0,216.0,277.0,277.0
750,8,27.0,27.0,281.0,281.0,101.0,101.0,263.0,263.0
750,9,19.5,19.5,279.0,279.0,24.0,24.0,225.0,225.0
750,10,7.5,7.5,278.0,278.0,39.0,39.0,232.0,232.0
1000,1,26.5,26.5,319.0,319.0,61.0,61.0,248.0,248.0
1000,2,32.0,32.0,296.0,296.0,88.0,88.0,260.0,260.0
1000,3,27.0,27.0,295.0,295.0,348.0,348.0,285.0,285.0
1000,4,27.5,27.5,293.0,293.0,141.0,141.0,257.0,257.0
1000,5,25.0,25.0,275.0,275.0,52.0,52.0,245.0,245.0
1000,6,24.0,24.0,275.0,275.0,205.0,205.0,270.0,270.0
1000,7,12.0,12.0,274.0,274.0,52.0,52.0,217.0,217.0
1000,8,8.5,8.5,268.0,268.0,119.0,119.0,262.0,262.0
1000,9,28.5,28.5,266.0,266.0,384.0,384.0,273.0,273.0
1000,10,16.5,16.5,265.0,265.0,68.0,68.0,253.0,253.0
1250,1,28.5,28.5,292.0,292.0,169.0,169.0,269.0,269.0
1250,2,14.5,14.5,285.0,285.0,50.0,50.0,244.0,244.0
1250,3,9.5,9.5,283.0,283.0,89.0,89.0,255.0,255.0
1250,4,31.0,31.0,279.0,279.0,109.0,109.0,263.0,263.0
1250,5,29.0,29.0,275.0,275.0,355.0,355.0,302.0,302.0
1250,6,19.5,19.5,273.0,273.0,90.0,90.0,262.0,262.0
1250,7,29.0,29.0,262.0,262.0,95.0,95.0,248.0,248.0
1250,8,17.0,17.0,260.0,260.0,91.0,91.0,247.0,247.0
1250,9,30.5,30.5,259.0,259.0,407.0,407.0,279.0,279.0
1250,10,25.0,25.0,258.0,258.0,162.0,162.0,271.0,271.0
1500,1,33.5,33.5,286.0,286.0,137.0,137.0,268.0,268.0
1500,2,32.0,32.0,281.0,281.0,429.0,429.0,285.0,285.0
1500,3,15.5,15.5,280.0,280.0,82.0,82.0,244.0,244.0
1500,4,32.0,32.0,272.0,272.0,112.0,112.0,264.0,264.0
1500,5,32.0,32.0,272.0,272.0,200.0,200.0,277.0,277.0
1500,6,21.0,21.0,271.0,271.0,65.0,65.0,241.0,241.0
1500,7,7.0,7.0,265.0,265.0,54.0,54.0,180.0,180.0
1500,8,33.5,33.5,262.0,262.0,434.0,434.0,286.0,286.0
1500,9,18.0,18.0,258.0,258.0,82.0,82.0,247.0,247.0
1500,10,30.5,30.5,254.0,254.0,194.0,194.0,275.0,275.0
1750,1,13.5,13.5,310.0,310.0,64.0,64.0,236.0,236.0
1750,2,35.5,35.5,276.0,276.0,468.0,468.0,289.0,289.0
1750,3,32.5,32.5,267.0,267.0,119.0,119.0,274.0,274.0
1750,4,22.0,22.0,260.0,260.0,93.0,93.0,243.0,243.0
1750,5,24.5,24.5,256.0,256.0,262.0,262.0,275.0,275.0
1750,6,30.5,30.5,255.0,255.0,115.0,115.0,268.0,268.0
1750,7,36.0,36.0,252.0,252.0,163.0,163.0,276.0,276.0
1750,8,30.5,30.5,247.0,247.0,280.0,280.0,269.0,269.0
1750,9,25.0,25.0,247.0,247.0,415.0,415.0,287.0,287.0
1750,10,22.5,22.5,247.0,247.0,142.0,142.0,280.0,280.0
2000,1,36.0,36.0,265.0,265.0,154.0,154.0,273.0,273.0
2000,2,14.5,14.5,259.0,259.0,67.0,67.0,250.0,250.0
2000,3,36.5,36.5,252.0,252.0,225.0,225.0,272.0,272.0
2000,4,33.5,33.5,250.0,250.0,236.0,236.0,271.0,271.0
2000,5,34.5,34.5,249.0,249.0,154.0,154.0,267.0,267.0
2000,6,10.0,10.0,243.0,243.0,107.0,107.0,250.0,250.0
2000,7,33.0,33.0,240.0,240.0,115.0,115.0,270.0,270.0
2000,8,12.5,12.5,240.0,240.0,73.0,73.0,236.0,236.0
2000,9,34.5,34.5,238.0,238.0,463.0,463.0,284.0,284.0
2000,10,11.5,11.5,238.0,238.0,116.0,116.0,270.0,270.0
2250,1,35.5,35.5,283.0,283.0,471.0,471.0,288.0,288.0
2250,2,25.0,25.0,271.0,271.0,418.0,418.0,286.0,286.0
2250,3,13.5,13.5,269.0,269.0,65.0,65.0,234.0,234.0
2250,4,37.0,37.0,253.0,253.0,480.0,480.0,287.0,287.0
2250,5,33.5,33.5,251.0,251.0,152.0,152.0,259.0,259.0
2250,6,32.5,32.5,251.0,251.0,223.0,223.0,278.0,278.0
2250,7,30.5,30.5,251.0,251.0,122.0,122.0,265.0,265.0
2250,8,21.5,21.5,251.0,251.0,144.0,144.0,278.0,278.0
2250,9,34.5,34.5,250.0,250.0,265.0,265.0,261.0,261.0
2250,10,24.0,24.0,249.0,249.0,262.0,262.0,274.0,274.0
2500,1,34.5,34.5,275.0,275.0,141.0,141.0,278.0,278.0
2500,2,23.5,23.5,272.0,272.0,257.0,257.0,269.0,269.0
2500,3,36.5,36.5,271.0,271.0,370.0,370.0,279.0,279.0
2500,4,32.0,32.0,270.0,270.0,221.0,221.0,271.0,271.0
2500,5,44.5,44.5,268.0,268.0,378.0,378.0,282.0,282.0
2500,6,26.0,26.0,261.0,261.0,146.0,146.0,277.0,277.0
2500,7,14.0,14.0,259.0,259.0,98.0,98.0,243.0,243.0
2500,8,34.0,34.0,258.0,258.0,453.0,453.0,287.0,287.0
2500,9,21.5,21.5,258.0,258.0,86.0,86.0,239.0,239.0
2500,10,21.5,21.5,253.0,253.0,134.0,134.0,277.0,277.0
2665,1,19.0,19.0,333.0,333.0,105.0,105.0,263.0,263.0
2665,2,20.5,20.5,317.0,317.0,227.0,227.0,278.0,278.0
2665,3,22.5,22.5,311.0,311.0,249.0,249.0,280.0,280.0
2665,4,20.5,20.5,304.0,304.0,165.0,165.0,279.0,279.0
2665,5,22.5,22.5,301.0,301.0,34.0,34.0,228.0,228.0
2665,6,21.5,21.5,298.0,298.0,140.0,140.0,265.0,265.0
2665,7,22.0,22.0,291.0,291.0,339.0,339.0,290.0,290.0
2665,8,19.5,19.5,291.0,291.0,54.0,54.0,240.0,240.0
2665,9,25.5,25.5,280.0,280.0,146.0,146.0,274.0,274.0
2665,10,21.0,21.0,280.0,280.0,58.0,58.0,240.0,240.0
