variable,method,unit,python_offset_frames,selected_final_alignment,offset_definition,selection_basis,n,mae,rmse,pearson_r
PEN,fixed-R,deg,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.7616082899870273,0.9339748052777719,0.9954921219139594
PEN,fixed-R,deg,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.7797552038315055,0.9505649759442695,0.9946719974808073
PEN,fixed-R,deg,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.807480107812248,0.9814307555119578,0.9931683634911795
PEN,adaptive anisotropic-R,deg,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,0.7894391252797783,0.9561548421788645,0.9910617769427056
PEN,adaptive anisotropic-R,deg,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.7405511135786508,0.903072091945825,0.993371603150254
PEN,adaptive anisotropic-R,deg,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.705356148621348,0.8635122931684638,0.9949974654435644
PEN,adaptive anisotropic-R,deg,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.6887433246501151,0.8417750233933935,0.9958448862716875
PEN,adaptive anisotropic-R,deg,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.6915273376311292,0.841235819430602,0.995816115289476
PEN,adaptive anisotropic-R,deg,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.709787475175625,0.8594800962752519,0.9950172721138428
PEN,adaptive anisotropic-R,deg,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.7381092607784303,0.8936221731342813,0.9935344982855789
FL,fixed-R,mm,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,1.4710564837515778,1.8107353362922969,0.993316901921526
FL,fixed-R,mm,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,1.3679916349127865,1.67136621958703,0.9956943460086214
FL,fixed-R,mm,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,1.2976696567648016,1.5709847264606815,0.9972713042276788
FL,fixed-R,mm,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,1.2626242948373503,1.5229982748539261,0.9979631767190226
FL,fixed-R,mm,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,1.2587805511961652,1.5357581018702688,0.9976956476684624
FL,fixed-R,mm,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,1.293040016026673,1.6042520581260256,0.9965396767766224
FL,fixed-R,mm,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,1.3767958490015044,1.717505005953142,0.9945768995112358
FL,adaptive anisotropic-R,mm,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,1.4535090648303628,1.7277277518789307,0.9933158713917608
FL,adaptive anisotropic-R,mm,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,1.3487085934080156,1.5805492158373207,0.9957083557519228
FL,adaptive anisotropic-R,mm,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,1.275992267079472,1.473460656677332,0.9972998953000046
FL,adaptive anisotropic-R,mm,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,1.237773600367649,1.421642474786774,0.9980058935449793
FL,adaptive anisotropic-R,mm,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,1.2378893077352826,1.434717829353917,0.9977535769576807
FL,adaptive anisotropic-R,mm,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,1.2808311770975815,1.5074394320849247,0.9966126060732798
FL,adaptive anisotropic-R,mm,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,1.3748540670492233,1.6270985763382828,0.9946645579559932
